epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,3284.18,1.15338,1.06022,1.25347,0.78743,0.68665,0.74581,0.31647,1.58148,1.22522,1.7196,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875,0.00155963,0.000519875
61,3338.45,1.12538,1.03041,1.22328,0.82961,0.68139,0.75385,0.31785,1.5826,1.19931,1.7308,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
62,3392.8,1.14228,1.04123,1.23966,0.80647,0.69915,0.75775,0.34841,1.52973,1.19228,1.69348,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125,0.00148537,0.000495125
63,3447.59,1.14637,1.03411,1.22974,0.81693,0.6976,0.7595,0.33115,1.53292,1.20059,1.69511,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
64,3501.83,1.11816,1.02424,1.22591,0.82829,0.69246,0.76591,0.33239,1.52455,1.17187,1.68703,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375,0.00141113,0.000470375
65,3556.17,1.1343,1.03496,1.22811,0.80732,0.69378,0.76142,0.32901,1.54795,1.19269,1.71055,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
66,3610.51,1.10717,1.01064,1.21783,0.78376,0.71195,0.76108,0.31993,1.56867,1.17935,1.73553,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625,0.00133687,0.000445625
67,3664.99,1.0995,0.98961,1.21379,0.78976,0.71219,0.76224,0.32538,1.56362,1.16167,1.73268,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
68,3719.81,1.1176,1.01215,1.21944,0.79538,0.70523,0.76257,0.33924,1.54969,1.15899,1.71868,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875,0.00126262,0.000420875
69,3774.47,1.09333,0.98805,1.21388,0.8094,0.69979,0.76724,0.35974,1.51746,1.16164,1.69616,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
70,3829.93,1.08787,0.98346,1.2139,0.77231,0.71898,0.76777,0.35614,1.52559,1.14802,1.71289,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125,0.00118838,0.000396125
71,3884.83,1.10307,0.98947,1.2034,0.79126,0.7095,0.7654,0.35269,1.53808,1.15554,1.71438,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
72,3939.28,1.07476,0.9704,1.19705,0.81099,0.69371,0.75545,0.32725,1.55428,1.18173,1.7128,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375,0.00111413,0.000371375
73,3993.67,1.07938,0.98335,1.20227,0.79312,0.70851,0.76189,0.32445,1.5502,1.15478,1.72557,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
74,4048.61,1.06768,0.97142,1.19875,0.80105,0.70488,0.75853,0.33046,1.56628,1.15685,1.7271,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625,0.00103988,0.000346625
75,4103.13,1.07598,0.97216,1.19969,0.80231,0.70761,0.7649,0.33334,1.54375,1.14517,1.71362,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
76,4158.01,1.05857,0.94736,1.18148,0.79503,0.71003,0.76652,0.33374,1.51613,1.1374,1.70949,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875,0.000965625,0.000321875
77,4212.2,1.05039,0.94648,1.19482,0.8133,0.72203,0.76936,0.33665,1.53734,1.14082,1.72044,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
78,4266.92,1.04199,0.94362,1.18742,0.81816,0.69946,0.76409,0.34189,1.55711,1.14423,1.73652,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125,0.000891375,0.000297125
79,4321.36,1.06299,0.95521,1.18793,0.81288,0.70764,0.76716,0.34981,1.51451,1.13594,1.71109,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
80,4375.99,1.05902,0.9574,1.18661,0.81882,0.70834,0.76831,0.34352,1.51408,1.12999,1.71701,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375,0.000817125,0.000272375
81,4430.88,1.02601,0.92234,1.17404,0.81312,0.71331,0.77483,0.33628,1.51626,1.12598,1.7237,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
82,4485.65,1.03213,0.93255,1.16916,0.81648,0.72024,0.77828,0.34473,1.5089,1.11793,1.71563,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625,0.000742875,0.000247625
83,4540.32,1.0206,0.93307,1.1753,0.83184,0.71262,0.77528,0.35244,1.49798,1.11854,1.71178,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
84,4594.92,1.02334,0.91951,1.16851,0.82998,0.71587,0.78125,0.34542,1.4966,1.10878,1.70978,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875,0.000668625,0.000222875
85,4649.37,1.02311,0.92988,1.17261,0.81567,0.72138,0.77357,0.34364,1.51104,1.11803,1.71506,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
86,4703.79,1.01509,0.92076,1.18088,0.81931,0.72261,0.77798,0.34887,1.50053,1.10503,1.70333,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125,0.000594375,0.000198125
87,4757.92,1.00733,0.91452,1.1642,0.83047,0.71556,0.77638,0.342,1.49568,1.11489,1.71152,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
88,4812.75,1.01207,0.92578,1.17459,0.83593,0.7111,0.78033,0.36541,1.50413,1.10201,1.71765,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375,0.000520125,0.000173375
89,4867.54,1.00347,0.90666,1.16328,0.83166,0.71429,0.77876,0.34232,1.5078,1.09877,1.71992,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
90,4922.04,1.00746,0.91338,1.16625,0.83024,0.71026,0.77785,0.36419,1.50615,1.10244,1.72385,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625,0.000445875,0.000148625
91,5034.38,0.98492,0.83608,1.19418,0.83001,0.70633,0.76831,0.33194,1.55348,1.12951,1.74612,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
92,5088.69,0.93895,0.78996,1.16563,0.86267,0.6989,0.7742,0.36152,1.53385,1.12638,1.74137,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875,0.000371625,0.000123875
93,5143.47,0.92567,0.78064,1.16208,0.85807,0.70629,0.77626,0.36278,1.52212,1.10891,1.73558,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
94,5198.41,0.89955,0.75946,1.14927,0.84548,0.70926,0.77527,0.34552,1.52696,1.10943,1.73925,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05,0.000297375,9.9125e-05
95,5252.9,0.90292,0.74531,1.14951,0.85152,0.70909,0.77621,0.35467,1.52336,1.1095,1.73293,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05,0.00026025,8.675e-05
96,5307.71,0.88884,0.74147,1.13899,0.85106,0.71246,0.78177,0.3511,1.51062,1.10133,1.73096,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05,0.000223125,7.4375e-05
97,5362.61,0.88186,0.73428,1.13336,0.8429,0.71731,0.78098,0.35124,1.51391,1.09511,1.73379,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05,0.000186,6.2e-05
98,5417.6,0.87907,0.73343,1.13552,0.82734,0.71904,0.77888,0.35943,1.51603,1.09825,1.73213,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05,0.000148875,4.9625e-05
99,5472.7,0.87285,0.72888,1.12812,0.8299,0.72322,0.78113,0.36062,1.50715,1.09684,1.73126,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05,0.00011175,3.725e-05
100,5527.38,0.86435,0.71831,1.12794,0.8347,0.7192,0.7814,0.35279,1.50696,1.09532,1.73184,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05,7.4625e-05,2.4875e-05
